"Idx","Fen","CustomBest","OfficialBest","SameMove","CustomScore","OfficialScore","CpAbsDiff"
"1","r1bqk2r/ppp2ppp/2np1n2/2b1p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R b KQkq - 0 6","d6d5","d6d5","True","na 0","na 0",
"2","rnbqkb1r/ppp1pp1p/1n4p1/8/3PP3/2N2P2/PP4PP/R1BQKBNR b KQkq - 2 6","g6g5","g6g5","True","na 0","na 0",
"3","rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6","a2a3","a2a3","True","na 0","na 0",
"4","rnbqkb1r/pp3ppp/4pn2/3P4/3N4/8/PPPN1PPP/R1BQKB1R b KQkq - 0 6","e6e5","e6e5","True","na 0","na 0",
"5","r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R b KQkq - 1 6","a7a6","a7a6","True","na 0","na 0",
"6","r1bqk2r/ppp2ppp/2np1n2/2bNp3/2P5/5NP1/PP1PPPBP/R1BQK2R w KQkq - 0 7","a2a3","a2a3","True","na 0","na 0",
"7","rnbqkb1r/pp3ppp/4p3/2pn4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6","c5c4","c5c4","True","na 0","na 0",
"8","rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/4BP2/PP2N1PP/RN1QKB1R w KQ - 0 7","a2a3","a2a3","True","na 0","na 0",
"9","r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6","a2a3","a2a3","True","na 0","na 0",
"10","rnb2rk1/pp1p1ppp/4pn2/q1P3B1/1bP5/2N5/PPQ1PPPP/R3KBNR w KQ - 1 7","a2a3","a2a3","True","na 0","na 0",
"11","rnbqk2r/1pp1ppbp/p2p1np1/8/P2PP3/2N1B2P/1PP2PP1/R2QKBNR b KQkq - 0 6","a6a5","a6a5","True","na 0","na 0",
"12","r1bqkb1r/pppp1ppp/2Bn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6","e5e4","e5e4","True","na 0","na 0",
"13","r1bqk1nr/pp2ppbp/2np2p1/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 0 6","a2a3","a2a3","True","na 0","na 0",
"14","rn1qkb1r/pp3ppp/2p1pn2/8/2QP2b1/5N2/PP1NPPPP/R1B1KB1R w KQkq - 0 7","a2a3","a2a3","True","na 0","na 0",
"15","rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq - 2 7","a2a3","a2a3","True","na 0","na 0",
"16","r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/2N1PN2/PP3PPP/R1B1KB1R b KQkq - 0 6","e6e5","e6e5","True","na 0","na 0",
"17","r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6","a6a5","a6a5","True","na 0","na 0",
"18","rnbq1rk1/pp1pppbp/5np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQ - 4 6","a2a3","a2a3","True","na 0","na 0",
"19","r1bqk2r/ppp2ppp/2n2n2/3p4/Qb1P4/2N2N2/PP2PPPP/R1B1KB1R w KQkq - 2 7","a2a3","a2a3","True","na 0","na 0",
"20","r1bq1rk1/pppp1ppp/2n2n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQ1RK1 b - - 4 6","e5e4","e5e4","True","na 0","na 0",
"21","rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/5NP1/PP1NPPBP/R1BQK2R b KQkq - 2 6","b6b5","b6b5","True","na 0","na 0",
"22","rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - - 4 6","e6e5","e6e5","True","na 0","na 0",
"23","rnbq1rk1/ppp1ppbp/3p1np1/6B1/2BP4/4PN2/PPPN1PPP/R2QK2R b KQ - 1 6","d6d5","d6d5","True","na 0","na 0",
"24","r1bqk2r/pppp1ppp/2N2n2/8/1b2P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6","a7a6","a7a6","True","na 0","na 0",
"25","rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - - 0 6","g6g5","g6g5","True","na 0","na 0",
"26","rnbq1rk1/p1pp1ppp/1p2pn2/8/2PP4/P4N2/1P1QPPPP/R1B1KB1R w KQ - 1 7","b2b3","b2b3","True","na 0","na 0",
"27","r1bq1rk1/pppp1ppp/2n2n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 0 6","a7a6","a7a6","True","na 0","na 0",
"28","rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/4PN2/PP1N1PPP/R1BQKB1R w KQkq - 1 6","a2a3","a2a3","True","na 0","na 0",
"29","r1bqkb1r/ppp2ppp/2pn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7","a2a3","a2a3","True","na 0","na 0",
"30","r1bqkb1r/pppp1ppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 b kq - 0 6","a7a6","a7a6","True","na 0","na 0",
