"Idx","CustomBest","OfficialBest","SameMove","CustomScore","OfficialScore","CpAbsDiff"
"1","d6d5","d6d5","True","na","na",
"2","g6g5","g6g5","True","na","na",
"3","a2a3","a2a3","True","na","na",
"4","e6e5","e6e5","True","na","na",
"5","a7a6","a7a6","True","na","na",
"6","a2a3","a2a3","True","na","na",
"7","c5c4","c5c4","True","na","na",
"8","a2a3","a2a3","True","na","na",
"9","a2a3","a2a3","True","na","na",
"10","a2a3","a2a3","True","na","na",
"11","a6a5","a6a5","True","na","na",
"12","e5e4","e5e4","True","na","na",
"13","a2a3","a2a3","True","na","na",
"14","a2a3","a2a3","True","na","na",
"15","a2a3","a2a3","True","na","na",
"16","e6e5","e6e5","True","na","na",
"17","a6a5","a6a5","True","na","na",
"18","a2a3","a2a3","True","na","na",
"19","a2a3","a2a3","True","na","na",
"20","e5e4","e5e4","True","na","na",
"21","b6b5","b6b5","True","na","na",
"22","e6e5","e6e5","True","na","na",
"23","d6d5","d6d5","True","na","na",
"24","a7a6","a7a6","True","na","na",
"25","g6g5","g6g5","True","na","na",
"26","b2b3","b2b3","True","na","na",
"27","a7a6","a7a6","True","na","na",
"28","a2a3","a2a3","True","na","na",
"29","a2a3","a2a3","True","na","na",
"30","a7a6","a7a6","True","na","na",
"31","a2a3","a2a3","True","na","na",
"32","d6d5","d6d5","True","na","na",
"33","d5d4","d5d4","True","na","na",
"34","d6d5","d6d5","True","na","na",
"35","d6d5","d6d5","True","na","na",
"36","c5c4","c5c4","True","na","na",
"37","c5c4","c5c4","True","na","na",
"38","a2a3","a2a3","True","na","na",
"39","a2a3","a2a3","True","na","na",
"40","a2a3","a2a3","True","na","na",
"41","a2a3","a2a3","True","na","na",
"42","a2a3","a2a3","True","na","na",
"43","b6b5","b6b5","True","na","na",
"44","a6a5","a6a5","True","na","na",
"45","d6d5","d6d5","True","na","na",
"46","a2a3","a2a3","True","na","na",
"47","e6e5","e6e5","True","na","na",
"48","a2a3","a2a3","True","na","na",
"49","a7a6","a7a6","True","na","na",
"50","a2a3","a2a3","True","na","na",
"51","d5d4","d5d4","True","na","na",
"52","a2a3","a2a3","True","na","na",
"53","a2a3","a2a3","True","na","na",
"54","e8g8","e8g8","True","na","na",
"55","b2b3","b2b3","True","na","na",
"56","d5d4","d5d4","True","na","na",
"57","a2a3","a2a3","True","na","na",
"58","a2a3","a2a3","True","na","na",
"59","a2a3","a2a3","True","na","na",
"60","a6a5","a6a5","True","na","na",
"61","b5b4","b5b4","True","na","na",
"62","a2a3","a2a3","True","na","na",
"63","c5c4","c5c4","True","na","na",
"64","a2a3","a2a3","True","na","na",
"65","a2a3","a2a3","True","na","na",
"66","d5d4","d5d4","True","na","na",
"67","a2a3","a2a3","True","na","na",
"68","g6g5","g6g5","True","na","na",
"69","a7a6","a7a6","True","na","na",
"70","c5c4","c5c4","True","na","na",
"71","a6a5","a6a5","True","na","na",
"72","a2a3","a2a3","True","na","na",
"73","a2a3","a2a3","True","na","na",
"74","a2a3","a2a3","True","na","na",
"75","a2a3","a2a3","True","na","na",
"76","a6a5","a6a5","True","na","na",
"77","a2a3","a2a3","True","na","na",
"78","d6d5","d6d5","True","na","na",
"79","b1d2","b1d2","True","na","na",
"80","a2a3","a2a3","True","na","na",
